row_id,target_rapid_surge_next,slice_lowflow
26188593355062,0,0
33369585650936,0,1
60810342837460,0,0
115059205012282,0,0
117292727534035,0,0
136087269794394,0,0
136571841579856,0,1
153307384503400,0,1
207479547873169,1,0
215565672459392,0,1
225384970713725,0,0
229502031254173,0,1
244257851681033,1,0
270486021181743,0,0
289558669146399,1,1
290135708229029,0,0
318980771373774,1,1
321763238338327,0,0
331426614203370,0,1
348155638387424,0,0
349214229372723,0,0
355513880668540,0,1
391898973094450,0,0
396228213415653,0,1
407737279580883,0,0
423071797328493,1,1
438408277106573,0,0
455884361350511,0,0
464402362807932,0,0
466946806826080,0,0
477633621791069,0,0
531653985973456,0,1
534881749438166,0,0
545702377757046,0,1
570337498258822,1,1
599478107438707,0,0
644990019132503,0,0
660570039536954,0,0
668840555295904,0,0
691758109002970,0,0
704998585358081,0,1
712406243797929,0,1
727962899743540,0,1
739841892200138,0,0
739868855002922,0,0
766192071028868,0,0
791309478171647,0,1
814623262130681,0,0
822697762745337,0,0
845439743740523,0,1
857144399692591,1,1
894965781284619,0,0
910158082271652,0,0
928087256732315,0,0
938573523326142,0,1
957794156832119,0,0
991140192614770,0,1
992301852056476,0,1
1015900203845169,0,0
1036580278832275,0,0
1066004005125213,0,0
1079490015275822,0,0
1102515446623251,0,0
1145548939380748,0,0
1164700867418283,0,1
1200117973603006,0,1
1256230928517291,0,1
1318529800655636,0,1
1325667515053186,0,0
1326756477974686,0,0
1346725813830398,0,0
1348542377533016,0,0
1349609244968491,0,0
1356146715767620,1,0
1373549466382766,0,1
1377263295463086,0,0
1386716203562272,0,1
1388398437378667,0,1
1401656900059275,0,1
1403748142138260,0,1
1430045018787332,0,0
1445764499326762,0,0
1470869253693379,1,0
1505979173099551,0,1
1520090559098298,0,1
1531966942011510,0,1
1532451596965239,0,1
1544446812400940,0,1
1579468469905354,1,0
1588443887069135,1,0
1657323081632985,0,1
1670314095057236,0,0
1708356659872084,1,1
1737673586527976,0,1
1772872483690716,0,0
1776282225413577,0,0
1810783116630364,0,1
1819619113103675,0,1
1848052823990525,1,1
1859711164287373,0,1
1863686335430971,0,1
1916837512000368,0,0
1923889295391778,0,1
1941013585055343,0,1
1950421312217494,0,1
1983509939295518,1,1
2054449679926337,0,0
2064298826301453,0,0
2098063365624697,1,0
2099751423223912,0,0
2116856653895390,0,0
2148247298947172,0,0
2153254617853571,0,1
2178462796194927,0,1
2185969663610086,0,1
2197888662868389,0,0
2200085141150613,0,1
2205377627116538,0,0
2217808055848740,0,1
2289198456940557,0,0
2299475390136689,0,0
2317352417667704,0,0
2342839479815213,0,0
2349853336115028,0,0
2356233099039711,0,1
2364798803639211,0,0
2405477114669016,0,0
2407885868646060,0,0
2423925799469830,1,1
2446429916396362,0,0
2449072165433041,0,0
2452155368870898,0,0
2465852673283305,0,1
2484157354793668,0,1
2498679108321366,0,1
2505559016764001,0,0
2551248188853780,0,0
2551256880526581,0,0
2559073558684897,0,0
2570097083557155,0,0
2587939534720991,0,1
2591721654092470,0,0
2596503179091433,0,1
2603499543724949,0,0
2669106883403994,0,0
2678370337756283,0,0
2716419085487716,0,0
2735890827712061,1,1
2743271182390242,0,1
2771842638263397,1,0
2791207406194639,0,1
2796761651498439,0,0
2840559374154843,0,0
2845726753069206,0,0
2870254956158244,0,1
2878556742810632,0,1
2891912775976786,1,0
2892523686342660,0,0
2907558249831455,0,1
2929608752030812,0,0
2951054495511631,0,1
2954359656092410,0,0
2957406829304923,0,0
2969501829268443,0,0
2973410294400237,1,1
2976758269504651,1,1
2984339058258069,0,0
2987952737645120,0,0
3007682684658657,0,1
3016668314583862,0,0
3029426528473471,0,1
3044573311512312,1,0
3087841251880646,0,1
3139824655651932,0,0
3145784628334968,0,1
3160390951282158,1,0
3184089989110896,0,1
3184474972330485,0,0
3190272415194182,0,1
3224234744196728,0,1
3237309681907100,0,0
3262757004585766,0,1
3279807887809139,0,0
3315683415858198,0,0
3318278615524804,0,0
3318452047476604,0,0
3333674827833981,0,0
3340845994577668,0,1
3349444973477610,0,0
3358936904569360,0,0
3367196202005552,0,1
3370051255915782,0,1
3377115315951996,0,0
3411286409413498,1,0
3419254744845101,0,0
3432236298282092,1,0
3507004270105192,0,0
3517521395562185,0,0
3553695214109597,1,1
3629768603202177,0,1
3633449529657221,0,1
3691852952779187,1,0
3693726109871831,0,1
3704609038227134,0,0
3706716836246298,0,0
3746758174629979,0,0
3785247236753330,0,0
3802087188328378,1,0
3832082598855322,1,0
3845989436417219,0,0
3846103945146260,0,0
3853733440938415,0,0
3856583656341377,1,0
3873554882695470,0,0
3873902767631530,0,0
3874002692296120,0,0
3884139304237855,1,1
3886438153981073,0,1
3927302150854649,0,1
3957142600540667,0,0
3961310668572911,0,0
3974725583070830,0,1
3980579192084668,0,0
3981108416039851,0,1
4033371310559907,0,0
4060869587789753,0,1
4092817577215606,0,0
4104211046307316,0,1
4109753877313056,0,0
4113003281940724,0,0
4125535175804971,0,0
4127872714676874,0,0
4132404643193987,0,0
4152184715869312,0,0
4172560695944520,1,1
4207826014830958,0,0
4209371456019924,0,1
4211857425840337,0,0
4223297363283987,0,1
4239013543857601,0,0
4245595284310486,0,1
4275760710369823,0,1
4290037493286448,0,0
4292954395371971,0,0
4298286106564086,0,0
4334676515037355,1,0
4371851288097988,0,0
4394091609931126,0,0
4394816195969303,0,0
4451874645751008,1,0
4578989219120277,0,0
4589416604980768,0,0
4602046951537645,0,1
4612572770079490,0,0
4675358485527871,0,0
